"Gene.ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Gene.Name"
"Os01g0591300",27990.698802216,-4.56846544283912,0.524700649875577,-8.70680347722543,3.12564338493937e-18,3.5177557278286e-17,"OsALDH2C1"
"Os10g0168300",159.124928294833,-3.97698700608119,0.456811008594877,-8.70597890868295,3.14845394592198e-18,3.54170441932313e-17,""
"Os02g0537700",952.234108309727,-2.34505908883486,0.26937566672728,-8.70553423523975,3.1608233633609e-18,3.55389026484254e-17,"OsPRX2"
"Os12g0424700",257.524198953562,5.6657654141701,0.650880087964421,8.70477607002752,3.18202386911126e-18,3.57598872909646e-17,""
"Os05g0573300",843.92069971531,4.31727273514828,0.496111341727431,8.70222543212937,3.25438298238888e-18,3.65553033592472e-17,""
"Os01g0873700",426.574885209394,3.30209829666002,0.379472517782321,8.70181144067518,3.2662797706981e-18,3.66711255032552e-17,""
"Os01g0229800",322.635026967774,-11.2311481220728,1.29082875111643,-8.70072665515001,3.29765707244525e-18,3.70054404519718e-17,""
"Os02g0105500",347.686547810859,3.74216520163466,0.430136721964184,8.69994355410153,3.32049295796962e-18,3.72436280950152e-17,""
"Os03g0319100",737.783109835041,2.21313412324878,0.254409208453741,8.69911170550729,3.3449213765583e-18,3.74994384862047e-17,""
"Os08g0538100",151.8666089593,8.85436015679905,1.01791959536374,8.69848679318826,3.36338944881836e-18,3.76882127772631e-17,""
"Os07g0139400",5632.78210694981,1.79868233847618,0.206803467847916,8.69754437483097,3.39143134116126e-18,3.79840310210061e-17,""
"Os04g0185500",2063.42066324932,2.15954379010387,0.248320832096296,8.69658728135392,3.42014612038759e-18,3.82870955819575e-17,"OsRFP"
"Os06g0681300",184.46460569773,-3.27390658522722,0.37646421104614,-8.69646167992836,3.42393219467456e-18,3.83109355580228e-17,""
"Os05g0563000",199.910151368921,-4.62336997432941,0.531835174217773,-8.69323842886001,3.52252067075419e-18,3.93949990682799e-17,"OsSND2"
"Os09g0467400",799.133558562759,-2.68259910736594,0.308600723884425,-8.6927829384179,3.53667673423904e-18,3.95341998595846e-17,"OsPUP3"
"Os07g0564700",1698.72310807311,1.67837186561377,0.193083056527423,8.69248651745574,3.54591927361417e-18,3.96183676135983e-17,""
"Os06g0340600",7194.74115820098,1.95897367689621,0.225372255851929,8.69216873874336,3.55585424331622e-18,3.97101868369954e-17,""
"Os11g0701500",172.980937721154,9.6609883402868,1.11150374841912,8.69181804742224,3.56685008597383e-18,3.98137590677619e-17,""
"Os06g0215900",251.350874013115,2.52718796626973,0.290791097632093,8.69073361202797,3.6010651384132e-18,4.01762829335361e-17,"OsOPR4"
"Os07g0592600",262.994967199184,7.18451338985555,0.826936457890283,8.68810816272994,3.68524839793027e-18,4.10956725879128e-17,"GH3-8"
"Os06g0253350",214.978847806666,-4.72399432606943,0.543820900734635,-8.68667298312347,3.7320847301821e-18,4.15979063323622e-17,""
"Os02g0711200",240.023030945319,-2.99497475084732,0.344996842001714,-8.68116569841655,3.91732958798869e-18,4.36416178762054e-17,""
"Os11g0591800",1314.35718437088,-6.48019458840895,0.746496179751141,-8.68081413433255,3.92945840838646e-18,4.37556639716717e-17,"OsPR4d"
"Os03g0242200",3042.07354742341,-2.84001349190519,0.327173797643063,-8.6804429705693,3.94230364192697e-18,4.38775739318994e-17,""
"Os02g0638900",1088.97823365974,1.95630890313063,0.225386239041183,8.67980632470277,3.96443328244945e-18,4.41026517347238e-17,"OsWD40-47"
"Os06g0676000",2775.13170810105,-2.5217926909086,0.290554521492865,-8.6792409147573,3.98418957271208e-18,4.43011232873485e-17,"NRAMP3"
"Os02g0709400",3744.46212725342,2.74972806246304,0.31684730481712,8.67840130137809,4.01370640939175e-18,4.46078817089921e-17,"ADL1"
"Os05g0101400",176.629434091001,-2.69784592495488,0.310923984447208,-8.67686656515541,4.06821949620282e-18,4.51920175351483e-17,""
"Os03g0648500",86.1736838510209,8.08232093747023,0.932140733482866,8.67070888241448,4.2943837200412e-18,4.76814722405727e-17,"OsENODL11"
"Os03g0606100",93.7005207920275,8.20526815750218,0.946423893440787,8.66976015120601,4.33031578451435e-18,4.80573625068368e-17,""
"Os12g0617900",1130.53938865354,1.848171150237,0.21318069016288,8.66950542671059,4.34001360769578e-18,4.8141887155294e-17,"OsPPKL3"
"Os07g0406800",661.841546159712,-2.89069734836232,0.333521122940687,-8.66720920964395,4.42840815862507e-18,4.90988609265008e-17,""
"Os06g0683100",196.405040544141,-8.06309274410455,0.930367920128013,-8.66656359238517,4.45358018302394e-18,4.93542896372677e-17,""
"Os03g0659300",135.027280557727,-2.9641386644516,0.342097118720976,-8.66461160366929,4.53054870877586e-18,5.01832042799656e-17,"OsGLYI4"
"Os03g0833100",284.975187938815,3.38982469633832,0.391245482164645,8.66418872770983,4.54739531751177e-18,5.03456959805708e-17,""
"Os01g0750900",223.742491192339,-4.70070820045242,0.542798024631447,-8.66014242340719,4.7117519315408e-18,5.21403821400362e-17,""
"Os10g0359500",2594.12683742069,2.80889838892969,0.324615488036291,8.65300175885526,5.01622512810502e-18,5.54831443150708e-17,"ONAC061"
"Os05g0408300",3558.73370765259,1.92110292849542,0.222116285885548,8.64908631456825,5.1913387151692e-18,5.739258212449e-17,""
"Os11g0684000",595.044321403001,6.56493509149443,0.759104297911512,8.64826494798703,5.2288319887159e-18,5.77794678619308e-17,"OsJAmyb"
"Os06g0358800",131.395796673084,-5.02801879372273,0.581494492384826,-8.64671782720041,5.30018144165983e-18,5.85399218637577e-17,""
"Os03g0247900",3635.79409194955,3.53408316604163,0.408727800645971,8.64654462078727,5.3082288765656e-18,5.8600819788644e-17,"OsACR9"
"Os07g0142300",506.381637100929,-7.5522562878893,0.873581821403958,-8.64516191025113,5.37290567799792e-18,5.92865279201984e-17,""
"Os01g0548750",52.5285483493972,5.87102431149572,0.679125517345639,8.64497675546431,5.3816252087476e-18,5.93544243337694e-17,""
"Os11g0490900",244.479436047783,2.96274124280787,0.342849926041967,8.64151052039373,5.54746395991455e-18,6.11543119470465e-17,"OsWRKY72"
"Os01g0934400",324.387420985441,2.66796323501266,0.308740099369618,8.64145357360471,5.55023022031959e-18,6.115565723466e-17,""
"Os01g0510100",2934.65025468615,1.90990259274475,0.221063628866984,8.63960572136429,5.64073462498921e-18,6.21232906698812e-17,"OsMKK6"
"Os08g0487500",1031.43855838296,-2.98955318352998,0.346081876440871,-8.63828298168844,5.70641308594537e-18,6.28167167309588e-17,""
"Os04g0547600",277.686802975824,-4.82219557960108,0.558295163859633,-8.63735868006459,5.7527552288303e-18,6.32967283217827e-17,"OsERF#094"
"Os03g0196600",466.530639632011,3.76938490259869,0.436412312141807,8.63721026590531,5.7602308731734e-18,6.33488443341675e-17,""
"Os02g0186500",4459.33242169321,-2.16030055193206,0.250129001345337,-8.63674560052105,5.78369820544134e-18,6.35766977639958e-17,"OsRLCK64"
